category_id,category_level_1,category_level_2,category_level_3,category_type,blacklist_reason,ss_category_id,andele_category_id
CM00001,Elektrotehnika,Sakaru līdzekļi,Mobilie telefoni,normal,,SS00001,AM00063
CM00002,Elektrotehnika,Sakaru līdzekļi,Apple,normal,,SS00002,AM00064
CM00003,Elektrotehnika,Sakaru līdzekļi,Samsung,normal,,SS00003,AM00065
CM00004,Elektrotehnika,Sakaru līdzekļi,Xiaomi,normal,,SS00004,AM00065
CM00005,Elektrotehnika,Sakaru līdzekļi,Huawei,normal,,SS00005,AM00065
CM00006,Elektrotehnika,Sakaru līdzekļi,Nokia,normal,,SS00006,AM00065
CM00007,Elektrotehnika,Sakaru līdzekļi,Sony,normal,,SS00007,AM00065
CM00008,Elektrotehnika,Sakaru līdzekļi,LG,normal,,SS00008,AM00065
CM00009,Elektrotehnika,Sakaru līdzekļi,HTC,normal,,SS00009,AM00065
CM00010,Elektrotehnika,Sakaru līdzekļi,Microsoft,normal,,SS00010,AM00065
CM00011,Elektrotehnika,Sakaru līdzekļi,Smart pulksteņi,normal,,SS00011,AM00096
CM00012,Elektrotehnika,Sakaru līdzekļi,Telefoni ar divām sim kartēm,normal,,SS00012,AM00063
CM00013,Elektrotehnika,Sakaru līdzekļi,Citi,normal,,SS00013,AM00063
CM00014,Elektrotehnika,Sakaru līdzekļi,Aksesuāri,normal,,SS00014,AM00005
CM00015,Elektrotehnika,Sakaru līdzekļi,Akumulatori un baterijas,normal,,SS00015,AM00005
CM00016,Elektrotehnika,Sakaru līdzekļi,Atmiņas kartes,normal,,SS00016,AM00005
CM00017,Elektrotehnika,Sakaru līdzekļi,Austiņas,normal,,SS00017,AM00007
CM00018,Elektrotehnika,Sakaru līdzekļi,Lādēšanas ierīces,normal,,SS00018,AM00068
CM00019,Elektrotehnika,Sakaru līdzekļi,Maciņi,normal,,SS00019,AM00066
CM00020,Elektrotehnika,Sakaru līdzekļi,Cits,normal,,SS00020,AM00005
CM00021,Elektrotehnika,Sakaru līdzekļi,Stacionārie telefoni,normal,,SS00021,AM00069
CM00022,Elektrotehnika,Sakaru līdzekļi,Radio telefoni,normal,,SS00022,AM00069
CM00023,Elektrotehnika,Sakaru līdzekļi,Centrāles un komutatori,normal,,SS00023,AM00001
CM00024,Elektrotehnika,Sakaru līdzekļi,Radiostacijas,normal,,SS00024,AM00001
CM00025,Elektrotehnika,Sakaru līdzekļi,Satelītu komunikācija,normal,,SS00025,AM00001
CM00026,Elektrotehnika,Sakaru līdzekļi,Faksi,normal,,SS00026,AM00001
CM00027,Elektrotehnika,Sakaru līdzekļi,Telefonu numuri,blacklisted,non-item listings,SS00027,
CM00028,Elektrotehnika,Sakaru līdzekļi,Rezerves daļas un remonts,blacklisted,repairs,SS00028,
CM00029,Elektrotehnika,Sakaru līdzekļi,Dažādi,normal,,SS00029,AM00005
CM00030,Elektrotehnika,Datori un orgtehnika,Datori,normal,,SS00030,AM00019
CM00031,Elektrotehnika,Datori un orgtehnika,Piezīmjdatori,normal,,SS00031,AM00018
CM00032,Elektrotehnika,Datori un orgtehnika,Planšetdatori,normal,,SS00032,AM00047
CM00033,Elektrotehnika,Datori un orgtehnika,Spēļu konsoles,normal,,SS00033,AM00090
