category_id,source_site,source_category_level_1,source_category_level_2,source_category_level_3,category_type,blacklist_reason,source_category_url
SS00001,ss.lv,Elektrotehnika,Sakaru līdzekļi,Mobilie telefoni,normal,,https://ss.lv/lv/electronics/phones/mobile-phones/
SS00002,ss.lv,Elektrotehnika,Sakaru līdzekļi,Apple,normal,,https://ss.lv/lv/electronics/phones/apple/
SS00003,ss.lv,Elektrotehnika,Sakaru līdzekļi,Samsung,normal,,https://ss.lv/lv/electronics/phones/samsung/
SS00004,ss.lv,Elektrotehnika,Sakaru līdzekļi,Xiaomi,normal,,https://ss.lv/lv/electronics/phones/xiaomi/
SS00005,ss.lv,Elektrotehnika,Sakaru līdzekļi,Huawei,normal,,https://ss.lv/lv/electronics/phones/huawei/
SS00006,ss.lv,Elektrotehnika,Sakaru līdzekļi,Nokia,normal,,https://ss.lv/lv/electronics/phones/nokia/
SS00007,ss.lv,Elektrotehnika,Sakaru līdzekļi,Sony,normal,,https://ss.lv/lv/electronics/phones/sony/
SS00008,ss.lv,Elektrotehnika,Sakaru līdzekļi,LG,normal,,https://ss.lv/lv/electronics/phones/lg/
SS00009,ss.lv,Elektrotehnika,Sakaru līdzekļi,HTC,normal,,https://ss.lv/lv/electronics/phones/htc/
SS00010,ss.lv,Elektrotehnika,Sakaru līdzekļi,Microsoft,normal,,https://ss.lv/lv/electronics/phones/microsoft/
SS00011,ss.lv,Elektrotehnika,Sakaru līdzekļi,Smart pulksteņi,normal,,https://ss.lv/lv/electronics/phones/smart-watches/
SS00012,ss.lv,Elektrotehnika,Sakaru līdzekļi,Telefoni ar divām sim kartēm,normal,,https://ss.lv/lv/electronics/phones/dual-sim/
SS00013,ss.lv,Elektrotehnika,Sakaru līdzekļi,Citi,normal,,https://ss.lv/lv/electronics/phones/other/
SS00014,ss.lv,Elektrotehnika,Sakaru līdzekļi,Aksesuāri,normal,,https://ss.lv/lv/electronics/phones/accessories/
SS00015,ss.lv,Elektrotehnika,Sakaru līdzekļi,Akumulatori un baterijas,normal,,https://ss.lv/lv/electronics/phones/batteries/
SS00016,ss.lv,Elektrotehnika,Sakaru līdzekļi,Atmiņas kartes,normal,,https://ss.lv/lv/electronics/phones/memory-cards/
SS00017,ss.lv,Elektrotehnika,Sakaru līdzekļi,Austiņas,normal,,https://ss.lv/lv/electronics/phones/headphones/
SS00018,ss.lv,Elektrotehnika,Sakaru līdzekļi,Lādēšanas ierīces,normal,,https://ss.lv/lv/electronics/phones/chargers/
SS00019,ss.lv,Elektrotehnika,Sakaru līdzekļi,Maciņi,normal,,https://ss.lv/lv/electronics/phones/cases/
SS00020,ss.lv,Elektrotehnika,Sakaru līdzekļi,Cits,normal,,https://ss.lv/lv/electronics/phones/accessories-other/
SS00021,ss.lv,Elektrotehnika,Sakaru līdzekļi,Stacionārie telefoni,normal,,https://ss.lv/lv/electronics/phones/landline/
SS00022,ss.lv,Elektrotehnika,Sakaru līdzekļi,Radio telefoni,normal,,https://ss.lv/lv/electronics/phones/radio-phones/
SS00023,ss.lv,Elektrotehnika,Sakaru līdzekļi,Centrāles un komutatori,normal,,https://ss.lv/lv/electronics/phones/pbx/
SS00024,ss.lv,Elektrotehnika,Sakaru līdzekļi,Radiostacijas,normal,,https://ss.lv/lv/electronics/phones/radios/
SS00025,ss.lv,Elektrotehnika,Sakaru līdzekļi,Satelītu komunikācija,normal,,https://ss.lv/lv/electronics/phones/satellite/
SS00026,ss.lv,Elektrotehnika,Sakaru līdzekļi,Faksi,normal,,https://ss.lv/lv/electronics/phones/fax/
SS00027,ss.lv,Elektrotehnika,Sakaru līdzekļi,Telefonu numuri,blacklisted,non-item listings,https://ss.lv/lv/electronics/phones/phone-numbers/
SS00028,ss.lv,Elektrotehnika,Sakaru līdzekļi,Rezerves daļas un remonts,blacklisted,repairs,https://ss.lv/lv/electronics/phones/repairs/
SS00029,ss.lv,Elektrotehnika,Sakaru līdzekļi,Dažādi,normal,,https://ss.lv/lv/electronics/phones/other-misc/
SS00030,ss.lv,Elektrotehnika,Datori un orgtehnika,Datori,normal,,https://ss.lv/lv/electronics/computers/desktops/
SS00031,ss.lv,Elektrotehnika,Datori un orgtehnika,Piezīmjdatori,normal,,https://ss.lv/lv/electronics/computers/laptops/
SS00032,ss.lv,Elektrotehnika,Datori un orgtehnika,Planšetdatori,normal,,https://ss.lv/lv/electronics/computers/tablets/
SS00033,ss.lv,Elektrotehnika,Datori un orgtehnika,Spēļu konsoles,normal,,https://ss.lv/lv/electronics/computers/game-consoles/
